W,Название (рус.),Title (en),Titre (fr),Год,"Размер, см",Статус,Где хранится,Location,Страна,Country,Последняя известная продажа,Тип изображения,Изображение на сайте,Источник изображения,Wikidata,Ссылка на карточку
844,У реки в Верноне,By the River at Vernon,Le Bord de l'eau à Vernon,1883,60 × 73,частная коллекция,,,,,"Christie's, London, 1988",скан из каталога,https://monet.1vasiliadi.com/img/1600/w844.webp,https://commons.wikimedia.org/wiki/File:Monet_w844.jpg,,https://monet.1vasiliadi.com/#w844
845,Дома на Старом мосту в Верноне,Houses on the Old Bridge at Vernon,Maisons sur le Vieux-Pont à Vernon,1883,60 × 81,музей,Художественный музей Нового Орлеана,New Orleans Museum of Art,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w845.webp,https://commons.wikimedia.org/wiki/File:Art_at_the_New_Orleans_Museum_of_Art_-_Houses_on_the_Old_Bridge_at_Vernon_circa_1883_by_Monet.jpg,https://www.wikidata.org/wiki/Q50699129,https://monet.1vasiliadi.com/#w845
846,Завтрак под навесом,Luncheon under the Canopy,Le Déjeuner sous la tente,1883,116 × 136,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w846.webp,https://commons.wikimedia.org/wiki/File:Monet_w846.jpg,,https://monet.1vasiliadi.com/#w846
847,Мишель Моне в синем свитере,Michel Monet in a Blue Sweater,Michel Monet au chandail bleu,1883,46 × 38,музей,"Музей Мармоттан, Париж","Musée Marmottan, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w847.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Michel_Monet_au_chandail_bleu.jpg,https://www.wikidata.org/wiki/Q105099573,https://monet.1vasiliadi.com/#w847
848,Ваза с маками,Vase of Poppies,Vase de pavots,1883,100 × 60,музей,"Музей Бойманса — ван Бёнингена, Роттердам","Museum Boijmans Van Beuningen, Rotterdam",Нидерланды,Netherlands,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w848.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_057.jpg,https://www.wikidata.org/wiki/Q19928687,https://monet.1vasiliadi.com/#w848
849,Маки в фарфоровой вазе,Poppies in a China Vase,Pavots dans un vase de Chine,1883,100 × 61,частная коллекция,,,,,2021,скан из каталога,https://monet.1vasiliadi.com/img/1600/w849.webp,https://commons.wikimedia.org/wiki/File:Monet_w849.jpg,,https://monet.1vasiliadi.com/#w849
850,Дорога в Монте-Карло,Road to Monte Carlo,Route de Monte-Carlo,1883,65 × 81,частная коллекция,,,,,2024,скан из каталога,https://monet.1vasiliadi.com/img/1600/w850.webp,https://commons.wikimedia.org/wiki/File:Monet_w850.jpg,,https://monet.1vasiliadi.com/#w850
851,Близ Монте-Карло,Near Monte Carlo,Près Monte-Carlo,1883,65 × 81,частная коллекция,,,,,2006,скан из каталога,https://monet.1vasiliadi.com/img/1600/w851.webp,https://commons.wikimedia.org/wiki/File:Monet_w851.jpg,,https://monet.1vasiliadi.com/#w851
852,"Бордигера, Италия","Bordighera, Italy","Bordighera, Italie",1884,60 × 73,музей,"Музей Барберини, Потсдам","Museum Barberini, Potsdam",Германия,Germany,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w852.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Bordighera_1884.jpg,https://www.wikidata.org/wiki/Q107529468,https://monet.1vasiliadi.com/#w852
853,Вид Бордигеры,View of Bordighera,Vue de Bordighera,1884,65 × 81,музей,"Музей Хаммера, Лос-Анджелес","Hammer Museum, Los Angeles",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w853.webp,https://commons.wikimedia.org/wiki/File:Monet_View_of_Bordighiera_31db607334.jpg,https://www.wikidata.org/wiki/Q28758117,https://monet.1vasiliadi.com/#w853
854,Виллы Бордигеры,Villas in Bordighera,Bordighera,1884,65 × 81,музей,Чикагский институт искусств,Art Institute of Chicago,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w854.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Bordighera_-_Art_Institute_of_Chicago_1922.426.jpg,https://www.wikidata.org/wiki/Q3236083,https://monet.1vasiliadi.com/#w854
855,Страда Романа. Бордигера,"Strada Romana, Bordighera",Strada Romana à Bordighera,1884,65 × 81,музей,"Музей Барберини, Потсдам","Museum Barberini, Potsdam",Германия,Germany,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w855.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_Strada_Romana_in_Bordighera.jpg,https://www.wikidata.org/wiki/Q108479170,https://monet.1vasiliadi.com/#w855
856,Виллы в Бордигере,Villas at Bordighera,Villas à Bordighera,1884,73 × 92,музей,Художественный музей Санта-Барбары,Santa Barbara Museum of Art,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w856.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Villas_in_Bordighera%2C_1884.jpg,https://www.wikidata.org/wiki/Q70140611,https://monet.1vasiliadi.com/#w856
857,Виллы Бордигеры,Villas in Bordighera,Les Villas à Bordighera,1884,115 × 130,музей,"Музей Орсе, Париж","Musée d'Orsay, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w857.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Villas_at_Bordighera_-_Google_Art_Project.jpg,https://www.wikidata.org/wiki/Q17493809,https://monet.1vasiliadi.com/#w857
857a,Виллы в Бордигере,Villas at Bordighera,Villas à Bordighera,1884,60 × 73,музей,"Собрание Хассо Платтнера, Музей Барберини, Потсдам","Hasso Plattner Collection, Museum Barberini, Potsdam",Германия,Germany,,нет,,,https://www.wikidata.org/wiki/Q66502276,https://monet.1vasiliadi.com/#w857a
858,Валле-Буона близ Бордигеры,Valle Buona near Bordighera,Valle Buona près de Bordighera),1884,65 × 92,музей,"Художественный музей Далласа, Даллас","Dallas Museum of Art, Dallas",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w858.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Valle_Buona%2C_Near_Bordighera%2C_1884.jpg,https://www.wikidata.org/wiki/Q79132471,https://monet.1vasiliadi.com/#w858
859,Долина Сассо. Голубой эффект,"The Valley of Sasso, Blue Effect","La Vallée de Sasso, effet bleu",1884,65 × 92,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w859.webp,https://commons.wikimedia.org/wiki/File:Monet_w859.jpg,,https://monet.1vasiliadi.com/#w859
860,"Оливы и пальмы, долина Сассо","Olive and Palm Trees, Valley of Sasso","Oliviers et palmiers, vallée de Sasso",1884,65 × 81,частная коллекция,,,Швейцария,Switzerland,Christie's 2006,скан из каталога,https://monet.1vasiliadi.com/img/1600/w860.webp,https://commons.wikimedia.org/wiki/File:Monet_w860_olive_trees_and_palm_trees_in_the_valley_of_sasso.jpg,,https://monet.1vasiliadi.com/#w860
861,Долина Сассо,The Valley of Sasso,Vallée de Sasso,1884,65 × 81,музей,Музей современного искусства Сан-Франциско,San Francisco Museum of Modern Art,США,United States,2007,скан из каталога,https://monet.1vasiliadi.com/img/1600/w861.webp,https://commons.wikimedia.org/wiki/File:Monet_w861.jpg,,https://monet.1vasiliadi.com/#w861
862,Долина Сассо. Эффект солнца,"The Valley of Sasso, Sunlight effect",Vallée de Sasso. Effet de soleil,1884,65 × 81,музей,"Музей Мармоттан-Моне, Париж","Musée Marmottan Monet, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w862.webp,https://commons.wikimedia.org/wiki/File:Monet-Sasso-Marmottan.jpg,https://www.wikidata.org/wiki/Q50415983,https://monet.1vasiliadi.com/#w862
863,Долина Сассо. Бордигера,"The Valley of Sasso, Bordighera","Bordighera, vallée de Sasso",1884,65 × 81,частная коллекция,,,США,United States,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w863.webp,https://commons.wikimedia.org/wiki/File:Monet_w863.jpg,,https://monet.1vasiliadi.com/#w863
864,Бурго-Марина в Бордигере,Burgo Marina at Bordighera,La Marine à Bordighera,1884,65 × 81,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w864.webp,https://commons.wikimedia.org/wiki/File:Monet_w864.jpg,,https://monet.1vasiliadi.com/#w864
865,Сад Морено в Бордигере,The Moreno Garden at Bordighera,Jardin Moreno à Bordighera,1884,73 × 92,музей,"Художественный музей Нортона, Уэст-Палм-Бич","Norton Museum of Art, West Palm Beach",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w865.webp,https://commons.wikimedia.org/wiki/File:The-moreno-garden-at-bordighera.jpg,https://www.wikidata.org/wiki/Q67504987,https://monet.1vasiliadi.com/#w865
866,Сад в Бордигере,"Garden at Bordighera, Impression of Morning",Jardin à Bordighera,1884,65 × 81,музей,"Эрмитаж, Санкт-Петербург","Hermitage Museum, St Petersburg",Россия,Russia,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w866.webp,https://commons.wikimedia.org/wiki/File:'Garden_at_Bordighera%2C_Impression_of_Morning'_by_Claude_Monet%2C_1884%2C_Hermitage.JPG,https://www.wikidata.org/wiki/Q19869126,https://monet.1vasiliadi.com/#w866
867,"Бордигера, дом садовника","Bordighera, the House of the Gardener",Maison du jardinier,1884,60 × 73,частная коллекция,,,,,2007,цветная фотография,https://monet.1vasiliadi.com/img/1600/w867.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Maison_de_jardinier_1884_(W867).jpg,,https://monet.1vasiliadi.com/#w867
868,Этюд оливковых деревьев,Study of Olive Trees,Étude d'oliviers,1884,73 × 60,музей,"Вилла Мариани, Бордигера","Villa Mariani, Bordighera",Италия,Italy,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w868.webp,https://commons.wikimedia.org/wiki/File:Monet-olivi.jpg,,https://monet.1vasiliadi.com/#w868
869,Оливковые деревья в Бордигере,Olive Trees in Bordighera,Bois d'oliviers au jardin Moreno,1884,65 × 81,частная коллекция,,,США,United States,2010,скан из каталога,https://monet.1vasiliadi.com/img/1600/w869.webp,https://commons.wikimedia.org/wiki/File:Monet_w869.jpg,,https://monet.1vasiliadi.com/#w869
870,Оливковая роща в саду Морено,The Olive Tree Wood in the Moreno Garden,Les Oliviers à Bordighera,1884,60 × 73,частная коллекция,,,Швейцария,Switzerland,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w870.webp,https://commons.wikimedia.org/wiki/File:Monet_w870.jpg,,https://monet.1vasiliadi.com/#w870
871,Этюд оливковых деревьев в Бордигере,Study of Olive Trees at Bordighera,"Étude d'oliviers, Bordighera",1884,60 × 73,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w871.webp,https://commons.wikimedia.org/wiki/File:Monet_w871.jpg,,https://monet.1vasiliadi.com/#w871
872,Оливковая роща в Бордигере,Grove of Olive Trees in Bordighera,Bois d'oliviers à Bordighera,1884,65 × 81,частная коллекция,,,,,"Sotheby's, London, 1967",скан из каталога,https://monet.1vasiliadi.com/img/1600/w872.webp,https://commons.wikimedia.org/wiki/File:Monet_w872.jpg,,https://monet.1vasiliadi.com/#w872
873,Под лимонными деревьями,Under the Lemon Trees,Sous les Citronniers,1884,73 × 60,музей,"Новая глиптотека Карлсберга, Копенгаген","Ny Carlsberg Glyptotek, Copenhagen",Дания,Denmark,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w873.webp,https://commons.wikimedia.org/wiki/File:Monet_-_The_Lemon_Grove_in_Bordighera.jpg,https://www.wikidata.org/wiki/Q50697752,https://monet.1vasiliadi.com/#w873
874,Небольшая ферма в Бордигере,Small Country Farm in Bordighera,Un coin de ferme à Bordighera,1884,73 × 92,музей,"Художественный музей Джослин, Омаха","Joslyn Art Museum, Omaha",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w874.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Palmen_in_Bordighera.jpg,https://www.wikidata.org/wiki/Q67220780,https://monet.1vasiliadi.com/#w874
875,"Пальмы, Бордигера","Palm Trees, Bordighera","Les Palmiers, Bordighera",1884,92 × 73,частная коллекция,,,Швейцария,Switzerland,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w875.webp,https://commons.wikimedia.org/wiki/File:Monet_w875.jpg,,https://monet.1vasiliadi.com/#w875
876,Пальма в Бордигере,A Palm Tree at Bordighera,Palmier à Bordighera,1884,60 × 73,частная коллекция,,,США,United States,2023,скан из каталога,https://monet.1vasiliadi.com/img/1600/w876.webp,https://commons.wikimedia.org/wiki/File:Monet_w876.jpg,,https://monet.1vasiliadi.com/#w876
877,Пальмы в Бордигере,Palm Trees at Bordighera,Palmiers à Bordighera,1884,65 × 81,музей,"Метрополитен-музей, Нью-Йорк","Metropolitan Museum of Art, New York",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w877.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Palm_Trees_at_Bordighera.jpg,https://www.wikidata.org/wiki/Q19912382,https://monet.1vasiliadi.com/#w877
878,Вид Вентимильи,View of Ventimiglia,Vue de Ventimiglia,1884,65 × 92,музей,"Художественная галерея и музей Келвингроув, Глазго","Kelvingrove Art Gallery and Museum, Glasgow",Великобритания,United Kingdom,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w878.webp,https://commons.wikimedia.org/wiki/File:Monet_-_View_of_Ventimiglia%2C_1884.jpg,https://www.wikidata.org/wiki/Q87842343,https://monet.1vasiliadi.com/#w878
879,Вид близ Вентимильи,View taken near Ventimiglia,Vue prise près Vintimille,1884,65 × 81,частная коллекция,,,США,United States,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w879.webp,https://commons.wikimedia.org/wiki/File:Monet_w879.jpg,,https://monet.1vasiliadi.com/#w879
880,Вид на французское побережье из Бордигеры,The French Coast Seen from Bordighera,La Côte française vue de Bordighera,1884,,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w880.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_880.png,,https://monet.1vasiliadi.com/#w880
881,Долина Нервии,The Valley of the Nervia,La Vallée de la Nervia,1884,65 × 81,музей,"Метрополитен-музей, Нью-Йорк","Metropolitan Museum of Art, New York",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w881.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_The_Valley_of_the_Nervia.jpg,https://www.wikidata.org/wiki/Q19912578,https://monet.1vasiliadi.com/#w881
882,Дольчеаква,Dolceacqua,,1884,73 × 92,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w882.webp,https://commons.wikimedia.org/wiki/File:Monet_w882.jpg,,https://monet.1vasiliadi.com/#w882
883,Замок в Дольчеакве,The Castle at Dolceacqua,Le château de Dolceacqua,1884,92 × 73,музей,"Музей Мармоттан-Моне, Париж","Musée Marmottan Monet, Paris",Франция,France,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w883.webp,https://commons.wikimedia.org/wiki/File:Monet_w883.jpg,https://www.wikidata.org/wiki/Q105099571,https://monet.1vasiliadi.com/#w883
884,Мост в Дольчеакве,Bridge at Dolceacqua,"Dolceacqua, le vieux pont sur la Nervia",1884,65 × 81,музей,"Институт искусств Кларка, Уильямстаун","Clark Art Institute, Williamstown",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w884.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Bridge_at_Dolceacqua%2C_1884.jpg,https://www.wikidata.org/wiki/Q67183649,https://monet.1vasiliadi.com/#w884
885,Долина Нервии с Дольчеаквой,The Valley of the Nervia with Dolceacqua,La Vallée de la Nervia avec Dolceacqua,1884,65 × 81,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w885.webp,https://commons.wikimedia.org/wiki/File:Monet_w885.jpg,,https://monet.1vasiliadi.com/#w885
886,"Портрет английского художника, Бордигера","Portrait of an English Painter, Bordighera","Portrait d'un peintre anglais, Bordighera",1884,52 × 41,музей,Тель-Авивский музей искусств,Tel Aviv Museum of Art,Израиль,Israel,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w886.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_886.png,https://www.wikidata.org/wiki/Q105416238,https://monet.1vasiliadi.com/#w886
887,Апельсиновая ветка с плодами,Orange Branch Bearing Fruit,Oranges sur une branche,1884,53 × 38,музей,"Музей изящных искусств, Хьюстон","Museum of Fine Arts, Houston",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w887.webp,https://commons.wikimedia.org/wiki/File:Monet_-_branch-of-orange-bearing-fruit.jpg,,https://monet.1vasiliadi.com/#w887
888,Лимоны на ветке,Lemons on a Branch,Citrons sur une branche,1884,65 × 54,частная коллекция,,,,,2018,цветная фотография,https://monet.1vasiliadi.com/img/1600/w888.webp,https://commons.wikimedia.org/wiki/File:Citrons_sur_une_branche_(1884)_Claude_Monet_(W_888).jpg,,https://monet.1vasiliadi.com/#w888
889,Красная дорога близ Ментоны,The Red Road near Menton,La Route rouge près de Menton,1884,65 × 81,музей,"Городской музей (Стеделейк), Амстердам","Stedelijk Museum, Amsterdam",Нидерланды,Netherlands,2010,цветная фотография,https://monet.1vasiliadi.com/img/1600/w889.webp,https://commons.wikimedia.org/wiki/File:LA_ROUTE_ROUGE_PR%C3%88S_DE_MENTON_(1884)_Claude_Monet_(W_889).jpg,,https://monet.1vasiliadi.com/#w889
890,Карниз близ Монако,The Corniche of Monaco,La Corniche near Monaco,1884,74 × 92,музей,"Рейксмузеум, Амстердам","Rijksmuseum, Amsterdam",Нидерланды,Netherlands,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w890.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_La_Corniche_near_Monaco_-_Google_Art_Project.jpg,https://www.wikidata.org/wiki/Q17324913,https://monet.1vasiliadi.com/#w890
891,Дорога в Ментону,The Path to Menton,Sentier au cap Martin,1884,139 × 180,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w891.webp,https://commons.wikimedia.org/wiki/File:Monet_w891.jpg,,https://monet.1vasiliadi.com/#w891
891a,Автопортрет в мастерской,Self Portrait in his Studio,Portrait de l'artiste dans son atelier,1884,,музей,"Музей Мармоттан-Моне, Париж","Musée Marmottan Monet, Paris",Франция,France,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w891a.webp,https://commons.wikimedia.org/wiki/File:Monet_w891a.jpg,,https://monet.1vasiliadi.com/#w891a
891b,Залив Монако,The Bay of Monaco,La Baie de Monaco,1884,60 × 73,музей,"Новый национальный музей Монако, Монако","Nouveau Musée National de Monaco, Monaco",Монако,Monaco,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w891b.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_La_Baie_de_Monaco_-_NMNM.jpg,https://www.wikidata.org/wiki/Q96097589,https://monet.1vasiliadi.com/#w891b
892,"Монте-Карло, вид из Рокбрюна",Monte Carlo seen from Roquebrune,Monte-Carlo vu de Roquebrune,1884,65 × 81,музей,Художественный музей Портленда (Мэн),Portland Museum of Art,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w892.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Monte_Carlo_vu_de_Roquebrune.jpg,https://www.wikidata.org/wiki/Q66821485,https://monet.1vasiliadi.com/#w892
892a,"Монте-Карло, вид из Рокбрюна",Monte Carlo seen from Roquebrune,"Monte-Carlo vu de Roquebrune, esquisse",1884,65 × 81,музей,Собрание Его Светлости князя Монако,Collection of H.S.H. the Prince of Monaco,Монако,Monaco,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w892a.webp,https://commons.wikimedia.org/wiki/File:Monet_w892a.jpg,,https://monet.1vasiliadi.com/#w892a
893,Мыс Мартен,Cap Martin,La pointe du cap Martin,1884,65 × 81,музей,"Музей изящных искусств, Турне",Musée des Beaux-Arts Tournai,Бельгия,Belgium,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w893.webp,https://commons.wikimedia.org/wiki/File:PM_147978_B_Tournai.jpg,https://www.wikidata.org/wiki/Q91018215,https://monet.1vasiliadi.com/#w893
894,Мыс Мартен,Cap Martin,,1884,73 × 92,частная коллекция,,,Швейцария,Switzerland,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w894.webp,https://commons.wikimedia.org/wiki/File:Monet_w894.jpg,,https://monet.1vasiliadi.com/#w894
895,Скалы и море,Rocks and Sea,Rochers et mer,1884,63 × 81,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w895.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_895.png,,https://monet.1vasiliadi.com/#w895
896,Мыс Мартен,Cap Martin,Au Cap Martin,1884,65 × 81,частная коллекция,,,Франция,France,2023,цветная фотография,https://monet.1vasiliadi.com/img/1600/w896.webp,https://commons.wikimedia.org/wiki/File:Au_Cap_Martin_(1884)_Claude_Monet_(W896).jpg,,https://monet.1vasiliadi.com/#w896
897,Прибрежная дорога на мысе Мартен близ Ментоны,"Coastal Road at Cap Martin, near Menton",Menton vu du cap Martin,1884,68 × 84,музей,"Музей изящных искусств, Бостон","Museum of Fine Arts, Boston",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w897.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Cap_Martin%2C_near_Menton%2C_1884.jpg,https://www.wikidata.org/wiki/Q20538843,https://monet.1vasiliadi.com/#w897
898,Река Эпт в Живерни,The Epte at Giverny,L'Epte à Giverny,1884,60 × 73,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w898.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_898.png,,https://monet.1vasiliadi.com/#w898
899,Река Эпт в Живерни,The River Epte at Giverny,"La Rivière de l'Epte à Giverny, l'été",1884,60 × 73,частная коллекция,,,,,2010,скан из каталога,https://monet.1vasiliadi.com/img/1600/w899.webp,https://commons.wikimedia.org/wiki/File:Monet_w899.jpg,,https://monet.1vasiliadi.com/#w899
900,Стог сена в Живерни,Haystacks at Giverny,Meule près de Giverny,1884,65 × 81,музей,"ГМИИ им. Пушкина, Москва","Pushkin Museum, Moscow",Россия,Russia,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w900.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Meule_pr%C3%A8s_de_Giverny_(1889)_-_Pushkin_Museum_%D0%96-3398.jpg,https://www.wikidata.org/wiki/Q3696344,https://monet.1vasiliadi.com/#w900
901,"Стога, пасмурный день","Haystacks, Overcast Day",Meules à Giverny,1884,65 × 81,музей,"Художественный музей Пола, Хаконэ","Pola Museum of Art, Hakone",Япония,Japan,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w901.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet%2C_1884_-_Haystacks_at_Giverny.jpg,,https://monet.1vasiliadi.com/#w901
902,Стог сена в Живерни,Haystacks at Giverny,Meules à Giverny,1884,65 × 81,музей,"Художественный музей Пола, Хаконэ","Pola Museum of Art, Hakone",Япония,Japan,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w902.webp,https://commons.wikimedia.org/wiki/File:Monet_w902.jpg,https://www.wikidata.org/wiki/Q79790733,https://monet.1vasiliadi.com/#w902
903,Скалы в Пти-Даль,Cliffs at Les Petites-Dalles,Falaises aux Petites-Dalles,1884,60 × 73,музей,"Музей Кригера, Вашингтон","Kreeger Museum, Washington D.C.",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w903.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Cliffs_at_Les_Petites-Dalles%2C_1884.jpg,https://www.wikidata.org/wiki/Q68041441,https://monet.1vasiliadi.com/#w903
904,Скалы в Пти-Даль,Cliffs at Les Petites-Dalles,Falaises des Petites-Dalles,1884,60 × 73,частная коллекция,,,,,2017,скан из каталога,https://monet.1vasiliadi.com/img/1600/w904.webp,https://commons.wikimedia.org/wiki/File:Monet_w904.jpg,,https://monet.1vasiliadi.com/#w904
905,Отлив в Ле-Петит-Даль,Low Tide at Les Petites-Dalles,Marée basse aux Petites-Dalles,1884,60 × 73,музей,"Собрание Хассо Платтнера, Музей Барберини, Потсдам","Hasso Plattner Collection, Museum Barberini, Potsdam",Германия,Germany,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w905.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_1.JPG,https://www.wikidata.org/wiki/Q106862060,https://monet.1vasiliadi.com/#w905
906,В Пти-Даль,At Les Petites-Dalles,Aux Petites-Dalles,1884,65 × 81,частная коллекция,,,Япония,Japan,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w906.webp,https://commons.wikimedia.org/wiki/File:Monet_w906.jpg,,https://monet.1vasiliadi.com/#w906
907,"Этрета, пляж и Порт-д'Аваль","Etretat, the Beach and the Porte d'Aval",,1884,60 × 73,музей,"Художественный музей Мураути, Токио","Marauchi Art Museum, Tokyo",Япония,Japan,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w907.webp,https://commons.wikimedia.org/wiki/File:Monet_w907.jpg,,https://monet.1vasiliadi.com/#w907
908,Скала Игла и Порт-д’Аваль,The Rock Needle and the Porte-d'Aval,La falaise d'Aval avec la porte et l'aiguille,1884,60 × 81,музей,Художественный музей Базеля,Kunstmuseum Basel,Швейцария,Switzerland,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w908.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Les_falaises_d'Aval_avec_la_Porte_et_l'Aiguille%2C_1884.jpg,https://www.wikidata.org/wiki/Q94636831,https://monet.1vasiliadi.com/#w908
909,Рукав Сены в Жёфоссе. После полудня,"The Arm of the Siene at Jeufosse, Afternoon",,1884,60 × 73,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w909.webp,https://commons.wikimedia.org/wiki/File:Monet_w909.jpg,,https://monet.1vasiliadi.com/#w909
910,"Жёфосс, эффект позднего вечера","Jeufosse, the Effect in the Late Afternoon","Le Bras de Jeufosse, effet de fin d'après-midi",1884,60 × 81,музей,"Музей современного искусства, Гумма","The Museum of Modern Art, Gunma",Япония,Japan,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w910.webp,https://commons.wikimedia.org/wiki/File:Monet_w910.jpg,https://www.wikidata.org/wiki/Q66991868,https://monet.1vasiliadi.com/#w910
911,Осень в Жёфоссе,Autumn at Jeufosse,Automne à Jeufosse,1884,60 × 73,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w911.webp,https://commons.wikimedia.org/wiki/File:Monet_w911.jpg,https://www.wikidata.org/wiki/Q98910166,https://monet.1vasiliadi.com/#w911
912,Поезд в Жёфоссе,The Train at Jeufosse,,1884,60 × 81,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w912.webp,https://commons.wikimedia.org/wiki/File:Monet_w912.jpg,,https://monet.1vasiliadi.com/#w912
912a,Поезд в Жёфоссе,The Train at Jeufosse,,1884,60 × 85,частная коллекция,,,США,United States,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w912a.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_912a.png,,https://monet.1vasiliadi.com/#w912a
913,"Берега Сены в Жёфоссе, осень","Banks of the Seine at Jeufosse, Autumn",,1884,54.6 × 73.6,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w913.webp,https://commons.wikimedia.org/wiki/File:Monet_w913.jpg,,https://monet.1vasiliadi.com/#w913
